Date,N_Stocks,Allocation
2016-05-31,15,"OrderedDict({'ATO.PA': 0.02, 'BNP.PA': 0.07642, 'CAP.PA': 0.02, 'CS.PA': 0.02, 'DG.PA': 0.09095, 'EL.PA': 0.02, 'ERF.PA': 0.20167, 'GLE.PA': 0.25, 'HO.PA': 0.02, 'OR.PA': 0.02, 'SAF.PA': 0.18095, 'STLAP.PA': 0.02, 'SU.PA': 0.02, 'VIV.PA': 0.02, 'WLN.PA': 0.02})"
2016-06-30,0,{}
2016-07-29,13,"OrderedDict({'ATO.PA': 0.02, 'DSY.PA': 0.02, 'HO.PA': 0.1175, 'KER.PA': 0.22414, 'MC.PA': 0.02, 'MT.AS': 0.25, 'PUB.PA': 0.02, 'RI.PA': 0.02, 'RMS.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.22836, 'SU.PA': 0.02, 'TEP.PA': 0.02})"
2016-08-31,4,"OrderedDict({'ALO.PA': 0.46, 'LR.PA': 0.5, 'STLAP.PA': 0.02, 'TEP.PA': 0.02})"
2016-09-30,6,"OrderedDict({'ATO.PA': 0.02, 'ERF.PA': 0.33333, 'FR.PA': 0.27333, 'STLAP.PA': 0.02, 'STMPA.PA': 0.33333, 'TEP.PA': 0.02})"
2016-10-31,8,"OrderedDict({'BNP.PA': 0.02108, 'GLE.PA': 0.25, 'HO.PA': 0.07483, 'KER.PA': 0.18292, 'MT.AS': 0.25, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.18118})"
2016-11-30,9,"OrderedDict({'AIR.PA': 0.02, 'EN.PA': 0.25, 'GLE.PA': 0.25, 'HO.PA': 0.02, 'KER.PA': 0.07592, 'MC.PA': 0.02, 'MT.AS': 0.25, 'STLAP.PA': 0.02, 'STMPA.PA': 0.09408})"
2016-12-30,17,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'EN.PA': 0.06034, 'GLE.PA': 0.17897, 'KER.PA': 0.02934, 'MC.PA': 0.02, 'ML.PA': 0.02, 'OR.PA': 0.02, 'ORA.PA': 0.21194, 'RNO.PA': 0.02, 'SAF.PA': 0.02, 'SGO.PA': 0.02, 'STLAP.PA': 0.02, 'STMPA.PA': 0.07313, 'SU.PA': 0.02, 'TTE.PA': 0.22628, 'WLN.PA': 0.02})"
2017-01-31,0,{}
2017-02-28,8,"OrderedDict({'AIR.PA': 0.24136, 'ATO.PA': 0.02, 'EN.PA': 0.25, 'HO.PA': 0.17625, 'SAN.PA': 0.02239, 'STLAP.PA': 0.02, 'STMPA.PA': 0.25, 'WLN.PA': 0.02})"
